,identifier,title,creator,date_created,date_issued,depositor,box,folder,type_of_resource,genre
0,31735061656561,"""Democracy Should Begin At Home""",,,,University of Pittsburgh,2,5,text,archival document
1,31735061659946,"""Delegate, Special Convention Communist Party, U.S.A., July 4-7, 1968""",,,,University of Pittsburgh,3,18,text,archival document
2,31735070075076,"Political action; Political action (Milwaukee, Wis.)",,,1912-02-17,University of Pittsburgh,,,text; text,newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers; newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers
3,31735060482829,"Tenement Children Protest, New York City,",,1934-02-26,,University of Pittsburgh,13,62,text,archival document
4,31735065151247,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1955-01-31,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
5,31735061544221,"""What Are You Doing About Your Undeclared War?"" Flyer and Event Details,",,1963-06-03,,University of Pittsburgh,11,145,text,archival document
6,31735060482076,Student Peace Union Recruitment Brochure,,,,University of Pittsburgh,12,21,text,archival document
7,31735066228051,"What is the New Deal?, by Earl Browder",,,,University of Pittsburgh,2,131,text,archival document
8,31735061658872,"""The Real Huey P. Long"", By Sender Garlin,",,1935-05,,University of Pittsburgh,4,27,text,archival document
9,31735060482522,"Letter from Dr. Martin Luther King, Jr.,",,1968-04,,University of Pittsburgh,1,21,text,archival document
10,31735066228762,"""The Socialization of Money"", By E.F. Mylius",,,,University of Pittsburgh,8,62,text,archival document
11,31735066228994,"Wrecking the Labor Banks, By William Z. Foster",,,,University of Pittsburgh,6,44,text,archival document
12,31735047451004,"""How UE Can Help You Win a More Secure Future!"" Pamphlet",,,,University of Pittsburgh,,103,text,archival document
13,31735061538504,"War and the 4th International,",,1934-07,,University of Pittsburgh,11,100,text,archival document
14,31735061543843,"""Capitalism, Socialism, Communism?- A Debate""",,,,University of Pittsburgh,10,96,text,archival document
15,31735059397731,"Drum: Wildcat Strike,",,1968,,University of Pittsburgh,1,97,text,archival document
16,31735061544775,"The International Socialist Review,",,1910-04,,University of Pittsburgh,11,4,text,archival document
17,31735067913180,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1965-12,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
18,31735061658617,"""World-Wide Unemployment"", 20,000,000 Unemployed",,,,University of Pittsburgh,3,67,text,archival document
19,31735060481888,Women of Yesterday and Today,,,,University of Pittsburgh,14,3,text,archival document
20,31735061655951,"The Position of Negro Women, by Eugene Gordon and Cyril Briggs,",,1935-02,,University of Pittsburgh,1,65,text,archival document
21,31735051655698,"May Day,",,1938,,University of Pittsburgh,13,59,text,archival document
