,identifier,title,creator,date,depositor,box,folder,type_of_resource,genre
0,2000.07.072,Vote Communist!,University of Pittsburgh; Printed by sympathizer,1934; 1921-1972,University of Pittsburgh; Printed by sympathizer,1,8,,flier
1,2000.07.073,The Communist Estimate of the New Mayor,"University of Pittsburgh; The Communist Party, USA",1933; 1921-1972,"University of Pittsburgh; The Communist Party, USA",1,8,,leaflet
2,2000.07.097,Welcome Reception to the National Job Marchers from the West,University of Pittsburgh; Workers Alliance of Allegheny County,1937; 1921-1972,University of Pittsburgh; Workers Alliance of Allegheny County,1,,,flier
3,2000.07.096,Unemployment Security for the Masses,University of Pittsburgh; Western Pennsylvania Committee for Unemployment and Social Insurance,1935; 1921-1972,University of Pittsburgh; Western Pennsylvania Committee for Unemployment and Social Insurance,1,,,flier
4,2000.07.005,Labor Poets Will Speak Pro-Spain announcement,unknown; University of Pittsburgh,1937; 1921-1972,unknown; University of Pittsburgh,1,1,,flier
5,2000.07.004,Hugo Oehler speech announcement,University of Pittsburgh; unknown,1933; 1921-1972,University of Pittsburgh; unknown,1,1,,flier
6,2000.07.078,Labor Picnic,University of Pittsburgh; United Workers Organizations,1938; 1921-1972,University of Pittsburgh; United Workers Organizations,1,8,,flier
7,2000.07.079,"Ashely Pettis ""Music in Soviet Russia""",University of Pittsburgh; The Pen and Hammer,1934; 1921-1972,University of Pittsburgh; The Pen and Hammer,1,8,,flier
8,2000.07.031,Huge Anti-Nazi Protest Meeting announcement,University of Pittsburgh; Anti-Nazi Federation of Pittsburgh,1935; 1921-1972,University of Pittsburgh; Anti-Nazi Federation of Pittsburgh,1,4,,flier
9,2000.07.030,Come to the Veterans' Mass Memorial announcement,University of Pittsburgh; Veterans National Rank and File Committee,1933; 1921-1972,University of Pittsburgh; Veterans National Rank and File Committee,1,3,,flier
10,2000.07.046,The CIO and the White Collar Worker,University of Pittsburgh; Committee for Industrial Organization,1936; 1921-1972,University of Pittsburgh; Committee for Industrial Organization,1,5,,leaflet
11,2000.07.047,The Truth About Gone With the Wind,University of Pittsburgh; Young Communist League,1939; 1921-1972,University of Pittsburgh; Young Communist League,1,5,,newsletter
12,2000.07.107,The Truth About Spain,University of Pittsburgh; American Friends of Spanish Democracy,1936/1940; 1921-1972,University of Pittsburgh; American Friends of Spanish Democracy,1,,,leaflet
13,2000.07.106,Nazis in America Make Changes--But What are the Facts?,"University of Pittsburgh; National Committee to Aid Victims of German Fascism, 870 Broadway New York City, NY",1934/1940; 1921-1972,"University of Pittsburgh; National Committee to Aid Victims of German Fascism, 870 Broadway New York City, NY",1,,,leaflet
14,2000.07.065,Who Are The Victims Of White Terror?,University of Pittsburgh; International Labor Defense,1930/1940; 1921-1972,University of Pittsburgh; International Labor Defense,1,7,,newsletter
15,2000.07.064,Trotsky-Bukharin Spy Trial,University of Pittsburgh; The Daily Worker,1938; 1921-1972,University of Pittsburgh; The Daily Worker,1,7,,flier
16,2000.07.012,Flaherty Brothers lecture announcement,University of Pittsburgh; Pittsburgh Friends of the Abraham Lincoln Brigade,1937; 1921-1972,University of Pittsburgh; Pittsburgh Friends of the Abraham Lincoln Brigade,1,2,,flier
17,2000.07.013,Art Cinema program announcement,University of Pittsburgh; unknown,1939; 1921-1972,University of Pittsburgh; unknown,1,2,,flier
18,2000.07.080,"New Theatre Presents ""Bury The Dead",University of Pittsburgh; New Theatre,1936/1937; 1921-1972,University of Pittsburgh; New Theatre,1,8,,flier
19,2000.07.081,The Prize Winner,"University of Pittsburgh; The Communist Party, USA",1933; 1921-1972,"University of Pittsburgh; The Communist Party, USA",1,9,,leaflet
20,2000.07.026,Circulation Builder newsletter,University of Pittsburgh; Party Builder,1936/1938; 1921-1972,University of Pittsburgh; Party Builder,1,3,,newsletter
21,2000.07.027,Coughlin Hit by Father Cox as Nazi Parrot article reprint,University of Pittsburgh; The Pittsburgh Press,1939; 1921-1972,University of Pittsburgh; The Pittsburgh Press,1,3,,article
22,2000.07.110,Steel Workers! Your Questions Answered!,"University of Pittsburgh; Communist Party of the U.S.A., Western Pennsylvania District",1935/1940; 1921-1972,"University of Pittsburgh; Communist Party of the U.S.A., Western Pennsylvania District",1,,,leaflet
23,2000.07.111,Letter to Our Friends,"University of Pittsburgh; Communist Party of the U.S.A., Western Pennsylvania District",1936; 1921-1972,"University of Pittsburgh; Communist Party of the U.S.A., Western Pennsylvania District",1,,,leaflet
24,2000.07.018,Story of the Militant Labor Movement lecture series announcement,University of Pittsburgh; Pittsburgh Workers School,1938; 1921-1972,University of Pittsburgh; Pittsburgh Workers School,1,2,,flier
25,2000.07.019,Gov. James keeps his promises to the Bankers political advertisement,University of Pittsburgh; Pittsburgh Communist Party,1939; 1921-1972,University of Pittsburgh; Pittsburgh Communist Party,1,2,,leaflet
26,2000.07.051,Over the Top... Republican Spain Drives Fascist from Madrid,University of Pittsburgh; Pittsburgh Friends of the Abraham Lincoln Brigade,1936/1938; 1921-1972,University of Pittsburgh; Pittsburgh Friends of the Abraham Lincoln Brigade,1,6,,flier
27,2000.07.050,20th Century Americanism,"University of Pittsburgh; The Communist Party, USA",1936/1937; 1921-1972,"University of Pittsburgh; The Communist Party, USA",1,5,,flier
28,2000.07.062,20th Anniversary of the Russian Revolution,University of Pittsburgh; United Office and Professional Workers of America #10 (UOPWA),1937; 1921-1972,University of Pittsburgh; United Office and Professional Workers of America #10 (UOPWA),1,7,,flier
29,2000.07.063,Commemorate Lenin,"University of Pittsburgh; Hill Section, Communist Party",1935; 1921-1972,"University of Pittsburgh; Hill Section, Communist Party",1,7,,flier
30,2000.07.087,Hail 20 Years of Worker's Rule,University of Pittsburgh; Communist Party of Pittsburgh,1937; 1921-1972,University of Pittsburgh; Communist Party of Pittsburgh,1,9,,leaflet
31,2000.07.086,April Fool's Day Workers School Dance,University of Pittsburgh; Pittsburgh Workers School,1930/1940; 1921-1972,University of Pittsburgh; Pittsburgh Workers School,1,9,,flier
